,Title,Description,label
13, including The Super Mario Bros. Movie and The Little Mermaid Sing-Along, along with rereleases of such classics as Jurassic Park (3D),bluebeetle
98,'Barbie': Everything to Know About the Sets and Filming Locations,"Here's every can't-miss detail from the Barbie movie sets and filming locations, including the Barbie dream house inspiration and Ken's Mojo Dojo Casa House.",barbie
25,Teenage Mutant Ninja Turtles Beg BTS’ Jung Kook Not to Watch Them Sing ‘Butter’ in ‘Mutant Mayhem’ Teaser,The Teenage Mutant Ninja Turtles sing BTS' 'Butter' in a teaser for the upcoming 'Mutant Mayhem' animated movie reboot.,tmnt
131,‘Oppenheimer’ star Cillian Murphy acknowledges Rays pitcher as doppelganger: ‘He’s a lot better at baseball than I am’,"Ever since Christopher Nolan's blockbuster hit ""Oppenheimer"" premiered in theatres, many have noticed that Tampa Bay Rays pitcher Tyler Glasnow looks eerily similar to Cillian Murphy, who plays the lead role of J. Robert Oppenheimer in the film.",oppenheimer
287,"China Box Office: ‘Barbie’ Gains Foothold, Crosses $25M","After a soft start in China, 'Barbie' began to make inroads in the world's second-biggest movie market in its second weekend.",barbie
231,"Why ‘Barbie’ is a rare phenomenon: Progress toward parity for women on movie screens has stalled, report finds","The USC report, published Thursday, found that 34.6% of speaking parts were female in the top 100 box-office hits of last year",barbie
99,Blue Beetle Director Names Ted Lasso Star as His 'Dream' DCU Casting for a Potential Sequel,Blue Beetle director Ángel Manuel Soto would love to cast Ted Lasso star Jason Sudeikis as a popular DC Comics character in a potential future sequel to his film.,bluebeetle
29,Mission: Impossible 7 Director Says Tom Cruise's Most Dangerous Stunt Is Still to Come: 'It's Terrifying',"Mission: Impossible - Dead Reckoning Part One director Christopher McQuarrie has teased that, while Tom Cruise's motorcycle jump stunt is the most dangerous stunt in the film, there is one coming in Part Two that just may be the most ""terrifying"" one yet.",missionimpossible
76,Teenage Mutant Ninja Turtles: Mutant Mayhem Review,Any TMNT fan is going to have a blast with this movie as it provides references to the past while still carving itself a new identity.,tmnt
81,The True Story of Lewis Strauss' Rivalry With J. Robert Oppenheimer,Christopher Nolan's 'Oppenheimer' features Robert Downey Jr. as Lewis Strauss  Here's what to know about Strauss' career and feud with J. Robert Oppenheimer.,oppenheimer
77,Read America Ferrera's Full Barbie Movie Monologue,Gloria's speech about how it is impossible to be a woman is one of the most talked-about scenes from Greta Gerwig's blockbuster film.,barbie
92,First Reviews of 'Barbie' Are In Following the World Premiere,"""#Barbie caught me off guard & I mean that in the best way possible.""",barbie
145,Four Pitches to Tom Cruise for the Next ‘Mission: Impossible’ Sequels,"I know we have to get through ‘Dead Reckoning Part Two’ first, Tom, but after that, I’ve got some ideas for you",missionimpossible
21,Hayley Atwell’s ‘Mission: Impossible 7’ Screen Test Was ‘Two Hours of Stunt Choreography’ So the Team Could ‘See My Natural Abilities’,"Haley Atwell spent two hours in stunt training for her ""Mission: Impossible - Dead Reckoning"" screen test.",missionimpossible
129,Pizza Hut tests underground deliveries ahead of ‘Teenage Mutant Ninja Turtles’ movie release,"In a nod to the Teenage Mutant Ninja Turtles’ favorite food, Pizza Hut served up its signature dish to select customers in the subways of New York City, the company announced.",tmnt
30,"Come on Barbie, give us nothing!",The Barbie movie punts meaningful concepts into the void and leaves us with nothing. But maybe that’s the point.,barbie
125,John Williams on ‘Indiana Jones’ and His Favorite Scores,"In a long career making music for the movies, the composer has made an indelible contribution to cinema. Williams shares his thoughts on some landmark works.",indianajones
314,‘Barbenheimer’ is stimulating the economy,“Barbie” and “Oppenheimer” have been such blockbuster movies that their impact appears to be showing up in economic statistics.,barbie
13,Mutant Mayhem is a grody and gorgeous reintroduction to the TMNT,Teenage Mutant Ninja Turtles: Mutant Mayhem knocks it out of the park with a straightforward story elevated by phenomenally inspired art direction and sharp action.,tmnt
